index,stem,Adams-Novikov filtration,order,shift,h1info,h1target,h2info,h2target,drinfo,drtarget
_P^2 h1^3 h6 c0,91,3,1,-1,,_P^2 h1^4 h6 c0,,,3,P^2 h1^3 h6 c0
_t D^2 h2 c1 g,91,3,1,1,,,,,,
h4^2 D3,91,5,1,-2,,h1 h4^2 D3,,,,
_D h1 k1,91,5,1,0,,_D h1^2 k1,,,3,D h1 k1
_t h2 g Q3,91,5,2,2,,,,"y94,10",,
_t d1 e1 g,91,7,1,-4,1,_t M h2^2 g^2,,,,
_D h1^2 g2 g,91,7,1,-2,,,,,3,h2 g Q3
M^2 h1,91,7,1,0,,,,,,
h1 h3 h6 g,91,7,1,2,,h1^2 h3 h6 g,,,,
P^2 h1^4 h6 c0,91,7,1,4,,P^2 h1^5 h6 c0,,,,
M D h1^2 g,91,9,1,-1,,,,,,
D^2 h2 g^2,91,9,3,1,,,,D^2 h2^2 g^2,,
d1 j1,91,11,1,-1,,h1 d1 j1,,,,
h1^2 h3 g H1,91,11,1,1,,,,h3 g C'',,
M h2^2 g^2,91,13,1,-1,,,,,,
h1 d1 e1 g,91,13,1,1,,h1^2 d1 e1 g,,,,
g^3 n,91,15,1,0,,,,h2 g^3 n,,
_t^2 D^2 h2 g^2,92,2,1,0,,t D^3 h1 g,,,,
"x92,10",92,4,1,-4,,,,,,
"x92,12",92,4,1,-2,,"h1 x92,12",,,,
_P^2 h1^4 h6 c0,92,4,1,0,,_P^2 h1^5 h6 c0,,,3,P^2 h1^4 h6 c0
g3,92,4,3,2,,h1 g3,,h2 g3,3,h1 h3 h6 g
_t D^2 h0 h2 g^2,92,4,2,4,,,1,_t D^2 h2^2 g^2,,
h1 h4^2 D3,92,6,1,-2,,,,,,
_D h1^2 k1,92,6,1,0,,T Q2,,,,
"h1 x91,8",92,6,1,2,,"h1^2 x91,8",,e1 Q2,3?,D^2 h2 g^2
_t M h2^2 g^2,92,8,2,-3,,,1,_h3 g C'',,
h1^2 h3 h6 g,92,8,1,-1,,,,,,
P^2 h1^5 h6 c0,92,8,1,1,,,,,,
_d1 j1,92,8,1,3,,_h1 d1 j1,,,3,d1 j1
D1 h1^2 e1,92,10,1,-1,,D1 h1^3 e1,,,,
_h1 d1 e1 g,92,10,1,1,,_h1^2 d1 e1 g,,,3,h1 d1 e1 g
h1 d1 j1,92,12,1,-1,,h1^2 d1 j1,,,,
"h2 x89,12",92,12,1,1,,M c0 g^2,,g^2 B6,3,g^3 n
h1^2 d1 e1 g,92,14,1,-1,,,,,,
D h1 h3 g^3,92,14,1,1,,D h1^2 h3 g^3,,,,
d1 g^3,92,16,1,0,,h1 d1 g^3,,h2 d1 g^3,,
t D^3 h1 g,93,3,1,-2,,D^3 c0 d0,,,,
h0^3 . D h2^2 h6,93,3,5,0,,D^2 M h1,1,"x96,8",,
h0^3 h4^2 h6,93,3,1,2,,,,,,
"h1 x92,12",93,5,1,-2,1,"y94,10",,,,
_P^2 h1^5 h6 c0,93,5,1,0,,_P^2 h1^6 h6 c0,,,3,P^2 h1^5 h6 c0
h1 g3,93,5,1,2,,h1^2 g3,,,3,h1^2 h3 h6 g
T Q2,93,7,1,-2,,,,,,
"h1^2 x91,8",93,7,1,0,,D d1 e1,,,,
_D1 h1^2 e1,93,7,1,2,,_D1 h1^3 e1,,"g x76,9",3,D1 h1^2 e1
D1 h2 e1,93,9,1,-1,,,,,,
_h1 d1 j1,93,9,1,1,,_h1^2 d1 j1,,,3,h1 d1 j1
D1 h1^3 e1,93,11,1,-1,,,,,,
_h1^2 d1 e1 g,93,11,1,1,,h3 g C'',,,3,h1^2 d1 e1 g
h1^2 d1 j1,93,13,1,-1,,,,,,
M c0 g^2,93,13,1,1,,,,,,
D h1^2 h3 g^3,93,15,1,-1,,,,,,
g^2 i1,93,15,1,1,,h1 g^2 i1,,g^3 T,,
h1 d1 g^3,93,17,1,0,,h1^2 d1 g^3,,,,
D^3 c0 d0,94,4,1,-4,2,_t D^2 h2^2 g^2,,,,
D^2 M h1,94,4,1,-2,,D^2 M h1^2,,,,
h1 h4^2 h6,94,4,1,0,,,,,,
"_h1^2 x91,11",94,4,1,2,,,,,,
h6 n,94,4,1,4,,,,h2 h6 n,,
"y94,10",94,6,2,-3,,,,t D D1 h1 g,,
_P^2 h1^6 h6 c0,94,6,1,-1,,,,,,
h1^2 g3,94,6,1,1,,e1 Q2,,,,
