name,cell,image,stem,Adams filtration,weight,Adams-Novikov filtration,h1target,h2target,h3target,theta2,theta3,theta4,theta5
v2^1[15-6],T,[16-7],105,15,60,15,v1^1[16-7],,,,,,
v2^1v4^1[15-1],B,v2^1v4^1[15-1],105,17,60,15,v2^2[16-4]+v1^42v2^1[16-0],,,,,,
v1^3v4^1[15-1],T,v1^2v2^1[16-4],105,18,60,15,v1^3v2^1[16-4]+v1^42v2^1[16-0],,,,,,
v1^6[15-5],B,v1^6[15-5],105,21,60,15,v1^6[16-4]+v1^42v2^1[16-0],,,,,,
v1^42v2^1[15-0],B,v1^42v2^1[15-0],105,58,60,15,v1^42v2^1[16-0],,,,,,
v1^45[15-0],T,v1^44[16-0],105,59,60,15,v1^45[16-0],,,,,,
[17-8],B,[17-8],105,17,61,17,,,,,,,
v1^2v2^1[17-5],B,v1^2v2^1[17-5],105,20,61,17,,,,,,,
v1^41v2^1[17-0],T,v1^40v2^1[18-0],105,58,61,17,,,,,,,
v1^44[17-0],B,v1^44[17-0],105,61,61,17,,,,,,,
v1^53[0-0],T,v1^52[1-0],106,52,53,0,v1^53[1-0],,v1^53v2^1[1-0],,,,
v2^14v3^1[2-2],T,v2^11v4^1[3-1],106,14,54,2,v1^1v2^11v4^1[3-1]+v1^1v2^12v3^1[3-3]+v1^52[3-0],v1^2v2^12v3^1[3-3]+v1^50v2^1[3-0],v1^1v2^13v3^1[3-3]+v1^55[3-0]+v1^1v2^18[3-0]+v1^52v2^1[3-0],v1^1v2^18[3-0],,,
v2^12v3^2[2-1],B,v2^12v3^2[2-1],106,16,54,2,v1^1v2^12v3^1[3-3],,,,,,
v1^1v2^17[2-0],T,v2^17[3-0],106,19,54,2,,,,v1^1v2^18[3-0],,,
v1^49v2^1[2-0],T,v1^48v2^1[3-0],106,51,54,2,v1^49v2^1[3-0]+v1^52[3-0],,v1^52v2^1[3-0],,,,
v1^52[2-0],B,v1^52[2-0],106,54,54,2,v1^52[3-0],,v1^52v2^1[3-0],,,,
v2^1[4-24],B,v2^1[4-24],106,5,55,4,v1^48v2^1[5-0],v2^5[5-17]+v2^9v3^1[5-7],,,,,
v1^1[4-25],B,v1^1[4-25],106,5,55,4,v1^48v2^1[5-0],,,,,,
v3^2v4^1[4-9],T,v4^2[5-8],106,6,55,4,v1^1v4^2[5-8]+v1^51[5-0]+v1^2v2^8v3^1[5-7]+v1^48v2^1[5-0],,v3^3[5-15]+v1^5v2^11v3^1[5-1],v3^3[5-15]+v1^1v2^2v3^2v4^1[5-7]+v1^5v2^11v3^1[5-1]+v1^2v2^9v3^1[5-7],,,
v1^1v2^3v3^1[4-15],T,v1^1v2^3[5-20],106,8,55,4,v1^51[5-0]+v1^48v2^1[5-0],,v1^51v2^1[5-0],,,,
v1^3v3^4[4-8],T,v1^2v2^4v3^3[5-4],106,13,55,4,,,,,,,
v1^1v2^12[4-3],T,v1^1v2^8v3^1[5-7],106,14,55,4,v1^2v2^11v3^1[5-1]+v1^51[5-0]+v1^2v2^8v3^1[5-7]+v1^48v2^1[5-0],,v1^51v2^1[5-0],,,,
v1^1v2^11[4-5],B,v1^1v2^11[4-5],106,16,55,4,v1^2v2^8v3^1[5-7]+v1^48v2^1[5-0],,v1^2v2^9v3^1[5-7]+v1^54[5-0],,,,
v1^48v2^1[4-0],B,v1^48v2^1[4-0],106,53,55,4,v1^48v2^1[5-0],,,,,,
v1^51[4-0],T,v1^50[5-0],106,54,55,4,v1^51[5-0],,v1^51v2^1[5-0],,,,
[6-27],B,[6-27],106,6,56,6,v1^50[7-0],,[7-25]+v1^1v2^2[7-20]+v1^6v2^8[7-5],[7-25]+v1^1v2^2[7-20]+v1^6v2^8[7-5]+v1^50v2^1[7-0],,,
v3^2[6-14],T,v3^2[7-12],106,8,56,6,v1^1v3^2[7-12]+v1^1v2^2v3^2[7-7]+v1^3v2^8[7-5],v3^5[7-3]+v2^6v3^1v4^1[7-1]+v1^1v2^9v3^1[7-3],v1^1v2^1v3^1[7-18]+v1^53[7-0]+v1^6v2^8[7-5],v1^1v2^1v3^1[7-18]+v1^3v2^9v3^1[7-3]+v1^1v2^2[7-20]+v1^6v2^8[7-5]+v1^50v2^1[7-0],,,
v2^2v3^1[6-15],B,v2^2v3^1[6-15],106,9,56,6,v2^13[7-1]+v1^50[7-0],v1^1v2^13[7-1],v1^50v2^1[7-0],v2^14[7-1]+v1^50v2^1[7-0],,,
v1^1v4^1[6-13],T,v2^2v3^2[7-7],106,10,56,6,v1^1v2^2v3^2[7-7]+v1^2[7-22]+v1^50[7-0],,,,,,
v2^6[6-12],B,v2^6[6-12],106,12,56,6,,,,,,,
v2^6v4^1[6-6],T,v2^6v4^1[7-3],106,13,56,6,v1^1v2^6v4^1[7-3]+v1^50[7-0],v2^6v3^1v4^1[7-1]+v1^1v2^9v3^1[7-3]+v1^48v2^1[7-0],,v1^1v2^2[7-20]+v1^6v2^8[7-5]+v1^50v2^1[7-0],,,
v1^2v2^10v3^1[6-2],T,v1^2v2^8[7-5],106,16,56,6,v1^3v2^8[7-5],,v1^3v2^9v3^1[7-3]+v1^53[7-0]+v1^6v2^8[7-5]+v1^50v2^1[7-0],,,,
v1^2v2^8v3^2[6-1],B,v1^2v2^8v3^2[6-1],106,18,56,6,v1^50[7-0],,v1^50v2^1[7-0],,,,
v2^13[6-2],B,v2^13[6-2],106,19,56,6,v2^13[7-1]+v1^50[7-0],v1^1v2^13[7-1],v1^50v2^1[7-0],v2^14[7-1]+v1^50v2^1[7-0],,,
v1^47v2^1[6-0],T,v1^46v2^1[7-0],106,53,56,6,v1^47v2^1[7-0]+v1^50[7-0],,v1^50v2^1[7-0],,,,
v1^50[6-0],B,v1^50[6-0],106,56,56,6,v1^50[7-0],,v1^50v2^1[7-0],,,,
v3^1[8-19],T,[9-21],106,8,57,8,v1^49[9-0],,v1^49v2^1[9-0],,,,
v1^1[8-23],T,[9-22],106,8,57,8,v1^1v2^1v3^4[9-1]+v1^49[9-0],,v1^2v2^2v3^3[9-4],v1^2v2^2v3^3[9-4]+v1^49v2^1[9-0]+v1^4v2^5v3^1[9-7]+v1^52[9-0],,,
v2^1[8-20],B,v2^1[8-20],106,9,57,8,v1^4v2^7v3^1[9-1]+v1^46v2^1[9-0],,v1^1v2^1[9-21]+v1^52[9-0],v1^1v2^1[9-21]+v1^4v2^5v3^1[9-7],,,
v1^1v3^2[8-13],T,v2^2[9-19],106,10,57,8,v1^49[9-0]+v1^46v2^1[9-0],,v1^49v2^1[9-0],,,,
v1^1v2^1v3^2[8-10],B,v1^1v2^1v3^2[8-10],106,12,57,8,,,,,,,
v1^1v2^1v3^1[8-17],T,v2^1v3^4[9-1],106,13,57,8,v1^1v2^1v3^4[9-1]+v1^46v2^1[9-0],,v1^2v2^2v3^3[9-4]+v1^49v2^1[9-0],v1^2v2^2v3^3[9-4]+v1^49v2^1[9-0]+v1^4v2^5v3^1[9-7]+v1^52[9-0],,,
v2^9[8-3],T,v2^5v3^1[9-7],106,14,57,8,v1^1v2^5v3^1[9-7]+v1^49[9-0]+v1^46v2^1[9-0],,v1^2v2^2v3^3[9-4]+v1^49v2^1[9-0],v1^2v2^2v3^3[9-4]+v1^49v2^1[9-0]+v1^4v2^5v3^1[9-7]+v1^52[9-0],,,
v2^6v3^2[8-2],B,v2^6v3^2[8-2],106,16,57,8,v1^4v2^7v3^1[9-1]+v1^46v2^1[9-0],,v1^4v2^5v3^1[9-7]+v1^52[9-0],,,,
v1^3v2^7[8-5],B,v1^3v2^7[8-5],106,18,57,8,v1^4v2^7v3^1[9-1]+v1^46v2^1[9-0],,v1^4v2^5v3^1[9-7]+v1^52[9-0],,,,
v1^46v2^1[8-0],B,v1^46v2^1[8-0],106,55,57,8,v1^46v2^1[9-0],,,,,,
v1^49[8-0],T,v1^48[9-0],106,56,57,8,v1^49[9-0],,v1^49v2^1[9-0],,,,
v1^1v2^2[10-14],T,v2^2[11-10],106,12,58,10,v1^5v2^2v3^2[11-2]+v1^45v2^1[11-0]+v1^2v2^5v3^1[11-3]+v1^48[11-0],,,,,,
v1^1v2^1v3^3[10-4],B,v1^1v2^1v3^3[10-4],106,15,58,10,,,,,,,
v1^2v2^2v4^1[10-6],T,v1^2v2^2v4^1[11-3],106,15,58,10,v1^45v2^1[11-0]+v1^48[11-0],,,,,,
v1^1v2^5v3^1[10-6],B,v1^1v2^5v3^1[10-6],106,17,58,10,v1^48[11-0],,,,,,
v1^1v2^5v3^2[10-1],B,v1^1v2^5v3^2[10-1],106,18,58,10,v1^2v2^5v3^1[11-3],,,,,,
v1^4v2^6v3^1[10-2],T,v1^4v2^2v3^2[11-2],106,18,58,10,v1^5v2^2v3^2[11-2]+v1^45v2^1[11-0],,,,,,
v2^10[10-1],T,v1^1v2^9[11-1],106,20,58,10,v1^45v2^1[11-0],v2^10[11-1]+v1^6v2^2v3^2[11-2],,,,,
v1^45v2^1[10-0],T,v1^44v2^1[11-0],106,55,58,10,v1^45v2^1[11-0]+v1^48[11-0],,,,,,
v1^48[10-0],B,v1^48[10-0],106,58,58,10,v1^48[11-0],,,,,,
v3^1v4^1[12-2],T,v4^1[13-4],106,13,59,12,v1^1v4^1[13-4]+v1^3v2^1v3^1[13-7]+v1^47[13-0]+v1^44v2^1[13-0],v3^3[13-2]+v1^1v2^1v3^1[13-9]+v1^1v3^1[13-11]+v1^4v2^1v3^1[13-7]+v1^48[13-0],,,,,
v3^2[12-5],B,v3^2[12-5],106,14,59,12,v2^1v3^1[13-9]+v2^3v3^1[13-4]+v1^44v2^1[13-0],v1^2v4^1[13-4]+v1^4v2^1v3^1[13-7],,,,,
v1^1v2^4[12-6],T,v1^1v3^2[13-4],106,15,59,12,v1^47[13-0],,,,,,
v1^2v2^5[12-3],T,v1^2v2^1v3^1[13-7],106,16,59,12,v1^3v2^1v3^1[13-7],,,,,,
v1^4v2^3[12-6],B,v1^4v2^3[12-6],106,19,59,12,v1^44v2^1[13-0],,,,,,
v1^44v2^1[12-0],B,v1^44v2^1[12-0],106,57,59,12,v1^44v2^1[13-0],,,,,,
v1^47[12-0],T,v1^46[13-0],106,58,59,12,v1^47[13-0],,,,,,
[14-10],B,[14-10],106,14,60,14,[15-8]+v1^1v2^1[15-6]+v1^4v4^1[15-1],,,,,,
v3^1[14-8],T,[15-7],106,14,60,14,v1^1[15-7]+v1^7[15-5]+v1^43v2^1[15-0]+v1^1v2^1[15-6]+v1^46[15-0],,,,,,
v2^1v3^1[14-7],B,v2^1v3^1[14-7],106,16,60,14,v1^1v2^1[15-6],,,,,,
v1^3v2^1v3^2[14-1],B,v1^3v2^1v3^2[14-1],106,20,60,14,v1^4v4^1[15-1],,,,,,
v1^6v3^1[14-6],T,v1^6[15-5],106,20,60,14,v1^7[15-5]+v1^43v2^1[15-0],,,,,,
v1^43v2^1[14-0],T,v1^42v2^1[15-0],106,57,60,14,v1^43v2^1[15-0]+v1^46[15-0],,,,,,
v1^46[14-0],B,v1^46[14-0],106,60,60,14,v1^46[15-0],,,,,,
[16-8],B,[16-8],106,16,61,16,,,,,,,
v1^1[16-7],T,[17-8],106,16,61,16,,,,,,,
v2^2[16-4],B,v2^2[16-4],106,18,61,16,,,,,,,
v1^3v2^1[16-4],T,v1^2v2^1[17-5],106,19,61,16,,,,,,,
v1^6[16-4],B,v1^6[16-4],106,22,61,16,,,,,,,
v1^42v2^1[16-0],B,v1^42v2^1[16-0],106,59,61,16,,,,,,,
v1^45[16-0],T,v1^44[17-0],106,60,61,16,,,,,,,
v2^15v3^1[1-1],T,v2^12v3^2[2-1],107,15,54,1,v1^1v2^12v3^2[2-1]+v1^53[2-0]+v1^50v2^1[2-0],v1^2v2^12v3^2[2-1],v1^1v2^13v3^2[2-1]+v1^56[2-0],,,,
v1^50v2^1[1-0],B,v1^50v2^1[1-0],107,52,54,1,v1^50v2^1[2-0],,,,,,
v1^53[1-0],T,v1^52[2-0],107,53,54,1,v1^53[2-0],,v1^53v2^1[2-0]+v1^56[2-0],,,,
v2^2v3^4v4^1[3-1],T,v2^1[4-24],107,4,55,3,,v1^1v2^3v3^3[4-9]+v1^53[4-0],,,,,
v1^1v3^2[3-16],T,v1^1[4-25],107,4,55,3,,,,,,,
v1^1v2^11v4^1[3-1],T,v1^1v2^11[4-5],107,15,55,3,v1^2v2^11[4-5]+v1^49v2^1[4-0]+v1^2v2^12[4-3]+v1^52[4-0],,v1^2v2^13[4-3]+v1^52v2^1[4-0],,,,
v1^1v2^12v3^1[3-3],B,v1^1v2^12v3^1[3-3],107,17,55,3,v1^2v2^12[4-3],,,,,,
v1^49v2^1[3-0],T,v1^48v2^1[4-0],107,52,55,3,v1^49v2^1[4-0]+v1^52[4-0],,,,,,
v1^52[3-0],B,v1^52[3-0],107,55,55,3,v1^52[4-0],,v1^52v2^1[4-0],,,,
v4^2[5-9],B,v4^2[5-9],107,7,56,5,v1^48v2^1[6-0],,v1^1v2^2v3^1[6-18]+v1^3v2^9v3^2[6-1]+v1^54[6-0],v1^1v2^2v3^1[6-18]+v1^3v2^9v3^2[6-1]+v1^54[6-0],,,
v1^1v4^2[5-8],T,v2^2v3^1[6-15],107,8,56,5,,,,v1^1v2^7[6-12]+v1^3v2^9v3^2[6-1],,,
v2^2v3^2[5-14],B,v2^2v3^2[5-14],107,9,56,5,v2^7[6-10],v2^4[6-18],v1^1v2^2v3^1[6-18]+v1^3v2^9v3^2[6-1]+v1^54[6-0],v1^1v2^7[6-12]+v2^8[6-10]+v2^10v3^2[6-1]+v1^1v2^2v3^1[6-18]+v1^54[6-0],,,
v3^6[5-1],B,v3^6[5-1],107,11,56,5,v2^9v3^1[6-6]+v1^48v2^1[6-0],v2^4[6-18]+v1^1v2^9v3^1[6-6],,v2^10v3^1[6-6]+v1^1v2^7[6-12],,,
v2^5v4^1[5-9],B,v2^5v4^1[5-9],107,11,56,5,v2^7[6-10]+v2^9v3^1[6-6]+v1^48v2^1[6-0],v1^1v2^9v3^1[6-6],,v2^10v3^1[6-6]+v2^8[6-10]+v2^10v3^2[6-1]+v1^3v2^9v3^2[6-1],,,
v2^5v3^3[5-4],T,v2^6[6-12],107,11,56,5,v1^51[6-0]+v2^7[6-10]+v1^3v2^10v3^1[6-2],v1^1v2^7[6-10]+v1^1v2^9v3^2[6-1],v1^51v2^1[6-0]+v1^3v2^9v3^2[6-1]+v1^54[6-0],v2^8[6-10]+v2^10v3^2[6-1],,,
v1^2v2^8v3^1[5-7],B,v1^2v2^8v3^1[5-7],107,16,56,5,v1^3v2^10v3^1[6-2],,v1^3v2^9v3^2[6-1],,,,
v1^2v2^11v3^1[5-1],T,v1^2v2^8v3^2[6-1],107,17,56,5,v1^3v2^10v3^1[6-2],,v1^3v2^9v3^2[6-1],,,,
v2^14[5-1],T,v2^13[6-2],107,18,56,5,v1^1v2^13[6-2]+v1^51[6-0]+v1^48v2^1[6-0],v2^14[6-1]+v1^4v2^10v3^1[6-2],v1^51v2^1[6-0]+v1^54[6-0],v1^6v2^10v3^1[6-2]+v1^54[6-0],,,
v1^48v2^1[5-0],B,v1^48v2^1[5-0],107,54,56,5,v1^48v2^1[6-0],,,,,,
v1^51[5-0],T,v1^50[6-0],107,55,56,5,v1^51[6-0],,v1^51v2^1[6-0]+v1^54[6-0],,,,
v1^1v3^2[7-12],T,v2^1[8-20],107,8,57,7,v1^1v2^1[8-20]+v1^1v2^6v3^2[8-2]+v1^50[8-0],,v1^1v2^1v3^1[8-19]+v1^53[8-0]+v1^7v2^7[8-5],v1^1v2^1v3^1[8-19]+v1^53[8-0]+v1^7v2^7[8-5]+v1^50v2^1[8-0],,,
v1^2[7-22],B,v1^2[7-22],107,9,57,7,v1^50[8-0],,v1^50v2^1[8-0],,,,
v1^1v2^2v3^2[7-7],T,v1^1v2^1v3^2[8-10],107,11,57,7,v1^47v2^1[8-0]+v1^50[8-0],,,,,,
v1^1v2^6v4^1[7-3],T,v2^6v3^2[8-2],107,15,57,7,v1^47v2^1[8-0]+v1^1v2^6v3^2[8-2]+v1^50[8-0],,v1^50v2^1[8-0],,,,
v2^9v3^1[7-3],B,v2^9v3^1[7-3],107,17,57,7,v1^1v2^9[8-3]+v1^50[8-0],,,,,,
v1^3v2^8[7-5],T,v1^3v2^7[8-5],107,17,57,7,v1^4v2^7[8-5],,v1^4v2^9[8-3]+v1^7v2^7[8-5]+v1^50v2^1[8-0],,,,
v2^13[7-1],B,v2^13[7-1],107,20,57,7,,,,v1^7v2^7[8-5],,,
v1^47v2^1[7-0],T,v1^46v2^1[8-0],107,54,57,7,v1^47v2^1[8-0]+v1^50[8-0],,,,,,
v1^50[7-0],B,v1^50[7-0],107,57,57,7,v1^50[8-0],,v1^50v2^1[8-0],,,,
v4^1[9-14],B,v4^1[9-14],107,10,58,9,v1^46v2^1[10-0],v2^2[10-15]+v2^5v3^1[10-7]+v1^50[10-0],,,,,
v1^1v2^1v3^4[9-1],T,v1^1v2^1v3^3[10-4],107,14,58,9,v1^5v2^6v3^1[10-2],,,,,,
v1^1v2^5v3^1[9-7],T,v1^1v2^5v3^1[10-6],107,16,58,9,v1^2v2^5v3^2[10-1]+v1^49[10-0]+v1^5v2^6v3^1[10-2],,,,,,
v2^4v3^2[9-4],T,v1^1v2^5v3^2[10-1],107,17,58,9,v1^2v2^5v3^2[10-1]+v1^49[10-0]+v1^5v2^6v3^1[10-2],v2^6v3^1[10-6]+v1^3v2^5v3^2[10-1]+v1^50[10-0],,,,,
v1^4v2^7v3^1[9-1],B,v1^4v2^7v3^1[9-1],107,21,58,9,v1^5v2^6v3^1[10-2],,,,,,
v1^46v2^1[9-0],B,v1^46v2^1[9-0],107,56,58,9,v1^46v2^1[10-0],,,,,,
v1^49[9-0],T,v1^48[10-0],107,57,58,9,v1^49[10-0],,,,,,
v3^2v4^1[11-1],T,v3^2[12-5],107,13,59,11,v1^1v3^2[12-5]+v1^45v2^1[12-0]+v1^1v3^1v4^1[12-2]+v1^5v2^3[12-6],v1^2v3^1v4^1[12-2]+v1^49[12-0],,,,,
v1^5v2^2v3^2[11-2],T,v1^4v2^3[12-6],107,18,59,11,v1^5v2^3[12-6]+v1^48[12-0],,,,,,
v1^2v2^5v3^1[11-3],B,v1^2v2^5v3^1[11-3],107,19,59,11,v1^3v2^5[12-3]+v1^5v2^3[12-6],,,,,,
v1^45v2^1[11-0],T,v1^44v2^1[12-0],107,56,59,11,v1^45v2^1[12-0]+v1^48[12-0],,,,,,
v1^48[11-0],B,v1^48[11-0],107,59,59,11,v1^48[12-0],,,,,,
[13-14],B,[13-14],107,13,60,13,[14-11],,,,,,
[13-15],B,[13-15],107,13,60,13,[14-11]+v1^1v3^1[14-8],,,,,,
v3^1[13-11],T,[14-10],107,13,60,13,v1^1[14-10]+v1^47[14-0]+v1^1v3^1[14-8]+v1^44v2^1[14-0],,,,,,
v2^1v3^1[13-9],B,v2^1v3^1[13-9],107,15,60,13,v1^1v3^1[14-8],,,,,,
v1^1v4^1[13-4],T,v2^1v3^1[14-7],107,15,60,13,v1^1v2^1v3^1[14-7]+v1^4v2^1v3^2[14-1]+v1^47[14-0]+v1^44v2^1[14-0],,,,,,
v2^3v3^1[13-4],B,v2^3v3^1[13-4],107,17,60,13,,,,,,,
v1^3v2^1v3^1[13-7],T,v1^3v2^1v3^2[14-1],107,19,60,13,v1^4v2^1v3^2[14-1]+v1^44v2^1[14-0],,,,,,
v1^44v2^1[13-0],B,v1^44v2^1[13-0],107,58,60,13,v1^44v2^1[14-0],,,,,,
v1^47[13-0],T,v1^46[14-0],107,59,60,13,v1^47[14-0],,,,,,
[15-8],B,[15-8],107,15,61,15,,,,,,,
v1^1[15-7],T,[16-8],107,15,61,15,,,,,,,
v1^1v2^1[15-6],B,v1^1v2^1[15-6],107,17,61,15,,,,,,,
v1^1v2^1v4^1[15-1],T,v2^2[16-4],107,17,61,15,,,,,,,
v1^4v4^1[15-1],B,v1^4v4^1[15-1],107,20,61,15,,,,,,,
v1^7[15-5],T,v1^6[16-4],107,21,61,15,,,,,,,
v1^43v2^1[15-0],T,v1^42v2^1[16-0],107,58,61,15,,,,,,,
v1^46[15-0],B,v1^46[15-0],107,61,61,15,,,,,,,
v1^1v2^12v3^2[2-1],T,v1^1v2^12v3^1[3-3],108,16,55,2,v1^2v2^12v3^1[3-3]+v1^53[3-0]+v1^2v2^11v4^1[3-1],,v1^53v2^1[3-0]+v1^2v2^13v3^1[3-3]+v1^56[3-0],,,,
v1^1v2^14v3^1[2-2],B,v1^1v2^14v3^1[2-2],108,18,55,2,v1^2v2^11v4^1[3-1]+v1^50v2^1[3-0],,v1^2v2^13v3^1[3-3]+v1^56[3-0],,,,
v1^50v2^1[2-0],B,v1^50v2^1[2-0],108,53,55,2,v1^50v2^1[3-0],,,,,,
v1^53[2-0],T,v1^52[3-0],108,54,55,2,v1^53[3-0],,v1^53v2^1[3-0],,,,
v4^2[4-9],T,v4^2[5-9],108,6,56,4,v1^49v2^1[5-0],,v1^1v3^2[5-20]+v1^3v2^9v3^1[5-7]+v1^52v2^1[5-0],v1^1v3^2[5-20]+v1^3v2^9v3^1[5-7]+v1^52v2^1[5-0],,,
v2^3v3^3[4-9],T,v2^5v4^1[5-9],108,10,56,4,v1^1v2^5v4^1[5-9]+v1^1v2^5v3^3[5-4]+v1^49v2^1[5-0]+v2^5[5-17]+v2^9v3^1[5-7]+v1^52[5-0],v2^8v3^2[5-4]+v1^1v2^9v3^1[5-7]+v1^50v2^1[5-0],v1^52v2^1[5-0],v2^10v3^1[5-7]+v2^13v3^1[5-1]+v2^6[5-17]+v1^52v2^1[5-0],,,
v1^2v2^11[4-5],T,v1^2v2^8v3^1[5-7],108,15,56,4,v1^3v2^11v3^1[5-1]+v1^49v2^1[5-0],,v1^3v2^9v3^1[5-7]+v1^55[5-0]+v1^52v2^1[5-0],,,,
v1^2v2^12[4-3],B,v1^2v2^12[4-3],108,18,56,4,,,,,,,
v1^49v2^1[4-0],T,v1^48v2^1[5-0],108,53,56,4,v1^49v2^1[5-0]+v1^52[5-0],,v1^52v2^1[5-0],,,,
v1^52[4-0],B,v1^52[4-0],108,56,56,4,v1^52[5-0],,v1^52v2^1[5-0],,,,
[6-28],B,[6-28],108,6,57,6,[7-24],,v1^1v3^3v4^1[7-4]+v1^1v2^10v3^1[7-3]+v1^54[7-0],,,,
v1^2v4^1[6-13],T,v1^2[7-22],108,8,57,6,v1^48v2^1[7-0],,,,,,
v2^7[6-10],B,v2^7[6-10],108,13,57,6,v1^48v2^1[7-0],,,v1^1v3^3v4^1[7-4]+v1^1v2^10v3^1[7-3]+v1^4v2^9v3^1[7-3]+v1^54[7-0],,,
v2^9v3^1[6-6],B,v2^9v3^1[6-6],108,16,57,6,v1^48v2^1[7-0],,,,,,
v2^9v3^2[6-1],T,v2^9v3^1[7-3],108,16,57,6,v1^1v2^9v3^1[7-3]+v1^51[7-0]+v1^1v2^13[7-1]+v1^48v2^1[7-0],,v1^4v2^9v3^1[7-3],v1^7v2^8[7-5]+v1^54[7-0],,,
v1^1v2^13[6-2],T,v2^13[7-1],108,19,57,6,v1^1v2^13[7-1]+v1^48v2^1[7-0],,,v1^7v2^8[7-5]+v1^54[7-0],,,
v1^3v2^10v3^1[6-2],B,v1^3v2^10v3^1[6-2],108,20,57,6,v1^4v2^8[7-5],,v1^4v2^9v3^1[7-3],,,,
v1^48v2^1[6-0],B,v1^48v2^1[6-0],108,55,57,6,v1^48v2^1[7-0],,,,,,
v1^51[6-0],T,v1^50[7-0],108,56,57,6,v1^51[7-0],,v1^51v2^1[7-0],,,,
v2^1v4^2[8-2],T,v4^1[9-14],108,9,58,8,v1^5v2^7v3^1[9-1]+v1^47v2^1[9-0]+v1^2v2^5v3^1[9-7],v1^1v4^1[9-15]+v1^3v2^5v3^1[9-7]+v1^51[9-0]+v1^48v2^1[9-0],,,,,
v1^1v2^1[8-20],B,v1^1v2^1[8-20],108,10,58,8,v1^50[9-0],,,,,,
v1^1v2^6v3^2[8-2],B,v1^1v2^6v3^2[8-2],108,17,58,8,v1^50[9-0],,,,,,
v1^1v2^9[8-3],B,v1^1v2^9[8-3],108,18,58,8,v1^2v2^5v3^1[9-7]+v1^50[9-0],,,,,,
v1^4v2^7[8-5],T,v1^4v2^7v3^1[9-1],108,20,58,8,v1^5v2^7v3^1[9-1]+v1^47v2^1[9-0],,,,,,
v1^47v2^1[8-0],T,v1^46v2^1[9-0],108,55,58,8,v1^47v2^1[9-0]+v1^50[9-0],,,,,,
v1^50[8-0],B,v1^50[8-0],108,58,58,8,v1^50[9-0],,,,,,
v2^2v4^1[10-7],B,v2^2v4^1[10-7],108,13,59,10,v2^4v3^2[11-2]+v2^5[11-7],v2^3[11-10]+v1^1v2^6v3^1[11-3]+v1^50[11-0],,,,,
v1^2v2^5v3^2[10-1],T,v1^2v2^5v3^1[11-3],108,18,59,10,v1^3v2^5v3^1[11-3]+v1^46v2^1[11-0],,,,,,
v1^5v2^6v3^1[10-2],B,v1^5v2^6v3^1[10-2],108,22,59,10,v1^6v2^2v3^2[11-2]+v1^46v2^1[11-0],,,,,,
v1^46v2^1[10-0],B,v1^46v2^1[10-0],108,57,59,10,v1^46v2^1[11-0],,,,,,
v1^49[10-0],T,v1^48[11-0],108,58,59,10,v1^49[11-0],,,,,,
[12-14],B,[12-14],108,12,60,12,v1^1v3^1[13-11]+v1^2v4^1[13-4],,,,,,
v2^1[12-13],T,[13-15],108,12,60,12,v1^1[13-15]+v1^1v3^1[13-11]+v1^4v2^1v3^1[13-7]+v1^48[13-0],,,,,,
v2^2[12-11],B,v2^2[12-11],108,14,60,12,v1^1v3^1[13-11]+v1^48[13-0],,,,,,
v1^1v3^2[12-5],T,v2^1v3^1[13-9],108,14,60,12,v1^1v2^1v3^1[13-9]+v1^4v2^1v3^1[13-7]+v1^48[13-0],,,,,,
v1^1v3^1v4^1[12-2],B,v1^1v3^1v4^1[12-2],108,15,60,12,v1^2v4^1[13-4]+v1^4v2^1v3^1[13-7]+v1^48[13-0],,,,,,
v2^3v3^2[12-2],T,v2^3v3^1[13-4],108,16,60,12,,,,,,,
v1^3v2^5[12-3],B,v1^3v2^5[12-3],108,20,60,12,v1^4v2^1v3^1[13-7]+v1^48[13-0],,,,,,
v1^5v2^3[12-6],B,v1^5v2^3[12-6],108,20,60,12,v1^48[13-0],,,,,,
v1^45v2^1[12-0],T,v1^44v2^1[13-0],108,57,60,12,v1^45v2^1[13-0]+v1^48[13-0],,,,,,
v1^48[12-0],B,v1^48[12-0],108,60,60,12,v1^48[13-0],,,,,,
[14-11],B,[14-11],108,14,61,14,,,,,,,
v1^1[14-10],T,[15-8],108,14,61,14,,,,,,,
v4^1[14-5],B,v4^1[14-5],108,15,61,14,,,,,,,
v1^1v3^1[14-8],B,v1^1v3^1[14-8],108,16,61,14,,,,,,,
v1^1v2^1v3^1[14-7],T,v1^1v2^1[15-6],108,16,61,14,,,,,,,
v1^4v2^1v3^2[14-1],T,v1^4v4^1[15-1],108,19,61,14,,,,,,,
v1^44v2^1[14-0],B,v1^44v2^1[14-0],108,59,61,14,,,,,,,
v1^47[14-0],T,v1^46[15-0],108,60,61,14,,,,,,,
v1^1v2^15v3^1[1-1],T,v1^1v2^14v3^1[2-2],109,17,55,1,v1^2v2^14v3^1[2-2]+v1^51v2^1[2-0]+v1^2v2^12v3^2[2-1],,v1^2v2^13v3^2[2-1]+v1^54v2^1[2-0],,,,
v1^51v2^1[1-0],T,v1^50v2^1[2-0],109,52,55,1,v1^51v2^1[2-0]+v1^54[2-0],,,,,,
v1^54[1-0],B,v1^54[1-0],109,55,55,1,v1^54[2-0],,v1^54v2^1[2-0],,,,
