name,cell,image,stem,Adams filtration,weight,Adams-Novikov filtration,h1target,h2target,h3target,theta2,theta3,theta4,theta5
v1^9v2^1[22-0],T,v1^8v2^1[23-0],46,31,34,22,v1^9v2^1[23-0]+v1^12[23-0],,v1^12v2^1[23-0],,,,
v1^12[22-0],B,v1^12[22-0],46,34,34,22,v1^12[23-0],,v1^12v2^1[23-0],,,,
v1^8v2^1[24-0],B,v1^8v2^1[24-0],46,33,35,24,v1^8v2^1[25-0],,,,,,
v1^11[24-0],T,v1^10[25-0],46,34,35,24,v1^11[25-0],,v1^11v2^1[25-0],,,,
v1^7v2^1[26-0],T,v1^6v2^1[27-0],46,33,36,26,v1^7v2^1[27-0]+v1^10[27-0],,v1^10v2^1[27-0],,,,
v1^10[26-0],B,v1^10[26-0],46,36,36,26,v1^10[27-0],,v1^10v2^1[27-0],,,,
v1^6v2^1[28-0],B,v1^6v2^1[28-0],46,35,37,28,v1^6v2^1[29-0],,,,,,
v1^9[28-0],T,v1^8[29-0],46,36,37,28,v1^9[29-0],,v1^9v2^1[29-0],,,,
v1^5v2^1[30-0],T,v1^4v2^1[31-0],46,35,38,30,v1^5v2^1[31-0]+v1^8[31-0],,v1^8v2^1[31-0],,,,
v1^8[30-0],B,v1^8[30-0],46,38,38,30,v1^8[31-0],,v1^8v2^1[31-0],,,,
v1^4v2^1[32-0],B,v1^4v2^1[32-0],46,37,39,32,v1^4v2^1[33-0],,,,,,
v1^7[32-0],T,v1^6[33-0],46,38,39,32,v1^7[33-0],,v1^7v2^1[33-0],,,,
v1^3v2^1[34-0],T,v1^2v2^1[35-0],46,37,40,34,v1^3v2^1[35-0]+v1^6[35-0],,v1^6v2^1[35-0],,,,
v1^6[34-0],B,v1^6[34-0],46,40,40,34,v1^6[35-0],,v1^6v2^1[35-0],,,,
v1^2v2^1[36-0],B,v1^2v2^1[36-0],46,39,41,36,v1^2v2^1[37-0],,,,,,
v1^5[36-0],T,v1^4[37-0],46,40,41,36,v1^5[37-0],,v1^5v2^1[37-0],,,,
v1^1v2^1[38-0],B,v1^1v2^1[38-0],46,40,42,38,,,,,,,
v1^4[38-0],B,v1^4[38-0],46,42,42,38,,,,,,,
v1^20v2^1[1-0],B,v1^20v2^1[1-0],47,22,24,1,v1^20v2^1[2-0],,,,,,
v1^23[1-0],T,v1^22[2-0],47,23,24,1,v1^23[2-0],,v1^23v2^1[2-0]+v1^26[2-0],,,,
v1^1v3^3[3-0],T,v2^1[4-6],47,4,25,3,v1^1v2^1[4-6]+v1^4v2^1[4-4],,v1^22v2^1[4-0],v1^1v2^2[4-6]+v1^25[4-0]+v1^22v2^1[4-0],,v1^1v2^6[4-6],v1^1v3^3[4-12]+v1^53[4-0]
v1^1v2^2[3-6],T,v2^2[4-4],47,5,25,3,v1^19v2^1[4-0]+v1^1v2^2[4-4]+v1^4v2^1[4-4],,v1^22v2^1[4-0],,,,
v1^4v2^1[3-6],B,v1^4v2^1[3-6],47,8,25,3,v1^4v2^1[4-4]+v1^22[4-0],,,,,,
v1^7[3-6],T,v1^6[4-4],47,9,25,3,v1^7[4-4],,v1^22v2^1[4-0],,,,
v1^19v2^1[3-0],T,v1^18v2^1[4-0],47,22,25,3,v1^19v2^1[4-0]+v1^22[4-0],,,,,,
v1^22[3-0],B,v1^22[3-0],47,25,25,3,v1^22[4-0],,v1^22v2^1[4-0],,,,
[5-9],B,[5-9],47,5,26,5,v1^18v2^1[6-0],,,,,,[6-29]+v1^52[6-0]
v1^1[5-8],T,[6-7],47,5,26,5,v1^18v2^1[6-0],,,,,,v1^1[6-28]+v1^1v2^7[6-10]+v1^4v2^10v3^1[6-2]+v1^49v2^1[6-0]+v1^1v2^9v3^2[6-1]+v1^52[6-0]
v2^2[5-4],B,v2^2[5-4],47,7,26,5,v1^18v2^1[6-0],v2^4[6-1],,v1^1v2^4[6-2]+v1^21v2^1[6-0],,,v2^14[6-1]+v1^4v2^10v3^1[6-2]+v2^2[6-23]+v1^1v2^9v3^2[6-1]+v1^52[6-0]
v1^3v2^1[5-5],T,v1^2v2^1[6-4],47,8,26,5,v1^21[6-0]+v1^18v2^1[6-0],,v1^21v2^1[6-0]+v1^24[6-0],,,,
v2^4[5-1],B,v2^4[5-1],47,9,26,5,,v2^4[6-1],,v1^1v2^4[6-2]+v1^21v2^1[6-0],,,v2^14[6-1]+v1^4v2^10v3^1[6-2]+v2^4[6-18]
v1^18v2^1[5-0],B,v1^18v2^1[5-0],47,24,26,5,v1^18v2^1[6-0],,,,,,
v1^21[5-0],T,v1^20[6-0],47,25,26,5,v1^21[6-0],,v1^21v2^1[6-0]+v1^24[6-0],,,,
v1^17v2^1[7-0],T,v1^16v2^1[8-0],47,24,27,7,v1^17v2^1[8-0]+v1^20[8-0],,,,,,
v1^20[7-0],B,v1^20[7-0],47,27,27,7,v1^20[8-0],,v1^20v2^1[8-0],,,,
[9-2],T,[10-1],47,9,28,9,[10-2],v1^1[10-2]+v1^20[10-0],[10-3]+v2^1[10-2]+v1^22[10-0],[10-3]+v1^22[10-0],,[10-11]+v1^2v3^2[10-1],v1^6v2^6v3^1[10-2]+v1^47v2^1[10-0]+v1^50[10-0]
v1^16v2^1[9-0],B,v1^16v2^1[9-0],47,26,28,9,v1^16v2^1[10-0],,,,,,
v1^19[9-0],T,v1^18[10-0],47,27,28,9,v1^19[10-0],,v1^19v2^1[10-0]+v1^22[10-0],,,,
v1^15v2^1[11-0],T,v1^14v2^1[12-0],47,26,29,11,v1^15v2^1[12-0]+v1^18[12-0],,,,,,
v1^18[11-0],B,v1^18[11-0],47,29,29,11,v1^18[12-0],,v1^18v2^1[12-0],,,,
