ANSS-cofiber-2-machine,algNovikov-machine
"v1^10[24-0]	","	v1^10[24-0]"
"v1^10[25-0]	","	v1^10[25-0]"
"v1^10[26-0]	","	v1^10[26-0]"
"v1^10[27-0]	","	v1^10[27-0]"
"v1^10[3-0]	","	v1^10[3-0]"
"v1^10[3-13]	","	v1^10[3-13]+v1^32v2^3[3-0]"
"v1^10[4-0]	","	v1^10[4-0]"
"v1^10[4-12]	","	v1^10[4-12]"
"v1^10[5-0]	","	v1^10[5-0]"
"v1^10[5-14]	","	v1^10[5-14]"
"v1^10[6-0]	","	v1^10[6-0]"
"v1^10[6-11]	","	v1^10[6-11]"
"v1^10[7-0]	","	v1^10[7-0]"
"v1^10[7-9]	","	v1^10[7-9]"
"v1^10[8-0]	","	v1^10[8-0]"
"v1^10[8-11]	","	v2^9v3^2[8-0]"
"v1^10[9-0]	","	v1^10[9-0]"
"v1^10v2^1[1-0]	","	v1^10v2^1[1-0]"
"v1^10v2^1[10-0]	","	v1^10v2^1[10-0]"
"v1^10v2^1[11-0]	","	v1^10v2^1[11-0]"
"v1^10v2^1[12-0]	","	v1^10v2^1[12-0]"
"v1^10v2^1[13-0]	","	v1^10v2^1[13-0]"
"v1^10v2^1[14-0]	","	v1^10v2^1[14-0]"
"v1^10v2^1[15-0]	","	v1^10v2^1[15-0]"
"v1^10v2^1[16-0]	","	v1^10v2^1[16-0]"
"v1^10v2^1[17-0]	","	v1^10v2^1[17-0]"
"v1^10v2^1[18-0]	","	v1^10v2^1[18-0]"
"v1^10v2^1[19-0]	","	v1^10v2^1[19-0]"
"v1^10v2^1[2-0]	","	v1^10v2^1[2-0]"
"v1^10v2^1[2-11]	","	v1^10v2^1[2-11]"
"v1^10v2^1[20-0]	","	v1^10v2^1[20-0]"
"v1^10v2^1[21-0]	","	v1^10v2^1[21-0]"
"v1^10v2^1[22-0]	","	v1^10v2^1[22-0]"
"v1^10v2^1[23-0]	","	v1^10v2^1[23-0]"
"v1^10v2^1[24-0]	","	v1^10v2^1[24-0]"
"v1^10v2^1[25-0]	","	v1^10v2^1[25-0]"
"v1^10v2^1[26-0]	","	v1^10v2^1[26-0]"
"v1^10v2^1[3-0]	","	v1^10v2^1[3-0]"
"v1^10v2^1[3-13]	","	v1^10v2^1[3-13]"
"v1^10v2^1[4-0]	","	v1^10v2^1[4-0]"
"v1^10v2^1[4-12]	","	v1^10v2^1[4-12]"
"v1^10v2^1[5-0]	","	v1^10v2^1[5-0]"
"v1^10v2^1[5-14]	","	v1^10v2^1[5-14]"
"v1^10v2^1[6-0]	","	v1^10v2^1[6-0]"
"v1^10v2^1[6-11]	","	v1^10v2^1[6-11]+v1^28v2^3v3^1[6-0]"
"v1^10v2^1[7-0]	","	v1^10v2^1[7-0]"
"v1^10v2^1[8-0]	","	v1^10v2^1[8-0]"
"v1^10v2^1[9-0]	","	v1^10v2^1[9-0]"
"v1^12[1-0]	","	v1^12[1-0]"
"v1^12[10-0]	","	v1^12[10-0]"
"v1^12[11-0]	","	v1^12[11-0]"
"v1^12[12-0]	","	v1^12[12-0]"
"v1^12[13-0]	","	v1^12[13-0]"
"v1^12[14-0]	","	v1^12[14-0]"
"v1^12[15-0]	","	v1^12[15-0]"
"v1^12[16-0]	","	v1^12[16-0]"
"v1^12[17-0]	","	v1^12[17-0]"
"v1^12[18-0]	","	v1^12[18-0]"
"v1^12[19-0]	","	v1^12[19-0]"
"v1^12[2-0]	","	v1^12[2-0]"
"v1^12[2-11]	","	v1^12[2-11]"
"v1^12[20-0]	","	v1^12[20-0]"
"v1^12[21-0]	","	v1^12[21-0]"
"v1^12[22-0]	","	v1^12[22-0]"
"v1^12[23-0]	","	v1^12[23-0]"
"v1^12[24-0]	","	v1^12[24-0]"
"v1^12[25-0]	","	v1^12[25-0]"
"v1^12[3-0]	","	v1^12[3-0]"
"v1^12[3-13]	","	v1^12[3-13]"
"v1^12[4-0]	","	v1^12[4-0]"
"v1^12[4-12]	","	v1^12[4-12]"
"v1^12[5-0]	","	v1^12[5-0]"
"v1^12[6-0]	","	v1^12[6-0]"
"v1^12[7-0]	","	v1^12[7-0]"
"v1^12[8-0]	","	v1^12[8-0]"
"v1^12[9-0]	","	v1^12[9-0]"
"v1^12v2^1[1-0]	","	v0^10[1-4]+v0^12[1-4]+v0^13[1-4]"
"v1^12v2^1[10-0]	","	v1^12v2^1[10-0]"
"v1^12v2^1[11-0]	","	v1^12v2^1[11-0]"
"v1^12v2^1[12-0]	","	v1^12v2^1[12-0]"
"v1^12v2^1[13-0]	","	v1^12v2^1[13-0]"
"v1^12v2^1[14-0]	","	v1^12v2^1[14-0]"
"v1^12v2^1[15-0]	","	v1^12v2^1[15-0]"
"v1^12v2^1[16-0]	","	v1^12v2^1[16-0]"
"v1^12v2^1[17-0]	","	v1^12v2^1[17-0]"
"v1^12v2^1[18-0]	","	v1^12v2^1[18-0]"
"v1^12v2^1[19-0]	","	v1^12v2^1[19-0]"
"v1^12v2^1[2-0]	","	v1^12v2^1[2-0]"
"v1^12v2^1[20-0]	","	v1^12v2^1[20-0]"
"v1^12v2^1[21-0]	","	v1^12v2^1[21-0]"
"v1^12v2^1[22-0]	","	v1^12v2^1[22-0]"
"v1^12v2^1[23-0]	","	v1^12v2^1[23-0]"
"v1^12v2^1[24-0]	","	v1^12v2^1[24-0]"
"v1^12v2^1[3-0]	","	v1^12v2^1[3-0]"
"v1^12v2^1[3-13]	","	v1^12v2^1[3-13]"
"v1^12v2^1[4-0]	","	v1^12v2^1[4-0]"
"v1^12v2^1[4-12]	","	v1^12v2^1[4-12]+v1^30v2^3v3^1[4-0]"
"v1^12v2^1[5-0]	","	v1^12v2^1[5-0]"
"v1^12v2^1[6-0]	","	v1^12v2^1[6-0]"
"v1^12v2^1[7-0]	","	v1^12v2^1[7-0]"
"v1^12v2^1[8-0]	","	v1^12v2^1[8-0]"
"v1^12v2^1[9-0]	","	v1^12v2^1[9-0]"
"v1^13[4-12]	","	v1^13[4-12]"
"v1^14[1-0]	","	v1^14[1-0]"
"v1^14[10-0]	","	v1^14[10-0]"
"v1^14[11-0]	","	v1^14[11-0]"
"v1^14[12-0]	","	v1^14[12-0]"
"v1^14[13-0]	","	v1^14[13-0]"
"v1^14[14-0]	","	v1^14[14-0]"
"v1^14[15-0]	","	v1^14[15-0]"
"v1^14[16-0]	","	v1^14[16-0]"
"v1^14[17-0]	","	v1^14[17-0]"
"v1^14[18-0]	","	v1^14[18-0]"
"v1^14[19-0]	","	v1^14[19-0]"
"v1^14[2-0]	","	v1^14[2-0]"
"v1^14[2-11]	","	v1^14[2-11]"
"v1^14[20-0]	","	v1^14[20-0]"
"v1^14[21-0]	","	v1^14[21-0]"
"v1^14[22-0]	","	v1^14[22-0]"
"v1^14[23-0]	","	v1^14[23-0]"
"v1^14[3-0]	","	v1^14[3-0]"
"v1^14[3-13]	","	v1^14[3-13]"
"v1^14[4-0]	","	v1^14[4-0]"
"v1^14[4-12]	","	v2^15[4-0]"
"v1^14[5-0]	","	v1^14[5-0]"
"v1^14[6-0]	","	v1^14[6-0]"
"v1^14[7-0]	","	v1^14[7-0]"
"v1^14[8-0]	","	v1^14[8-0]"
"v1^14[9-0]	","	v1^14[9-0]"
"v1^14v2^1[1-0]	","	v1^14v2^1[1-0]"
"v1^14v2^1[10-0]	","	v1^14v2^1[10-0]"
"v1^14v2^1[11-0]	","	v1^14v2^1[11-0]"
"v1^14v2^1[12-0]	","	v1^14v2^1[12-0]"
"v1^14v2^1[13-0]	","	v1^14v2^1[13-0]"
"v1^14v2^1[14-0]	","	v1^14v2^1[14-0]"
"v1^14v2^1[15-0]	","	v1^14v2^1[15-0]"
"v1^14v2^1[16-0]	","	v1^14v2^1[16-0]"
"v1^14v2^1[17-0]	","	v1^14v2^1[17-0]"
"v1^14v2^1[18-0]	","	v1^14v2^1[18-0]"
"v1^14v2^1[19-0]	","	v1^14v2^1[19-0]"
"v1^14v2^1[2-0]	","	v1^14v2^1[2-0]"
"v1^14v2^1[2-11]	","	v1^14v2^1[2-11]"
"v1^14v2^1[20-0]	","	v1^14v2^1[20-0]"
"v1^14v2^1[21-0]	","	v1^14v2^1[21-0]"
"v1^14v2^1[22-0]	","	v1^14v2^1[22-0]"
"v1^14v2^1[3-0]	","	v1^14v2^1[3-0]"
"v1^14v2^1[4-0]	","	v1^14v2^1[4-0]"
"v1^14v2^1[5-0]	","	v1^14v2^1[5-0]"
"v1^14v2^1[6-0]	","	v1^14v2^1[6-0]"
"v1^14v2^1[7-0]	","	v1^14v2^1[7-0]"
"v1^14v2^1[8-0]	","	v1^14v2^1[8-0]"
"v1^14v2^1[9-0]	","	v1^14v2^1[9-0]"
"v1^16[1-0]	","	v1^16[1-0]"
"v1^16[10-0]	","	v1^16[10-0]"
"v1^16[11-0]	","	v1^16[11-0]"
"v1^16[12-0]	","	v1^16[12-0]"
"v1^16[13-0]	","	v1^16[13-0]"
"v1^16[14-0]	","	v1^16[14-0]"
"v1^16[15-0]	","	v1^16[15-0]"
"v1^16[16-0]	","	v1^16[16-0]"
"v1^16[17-0]	","	v1^16[17-0]"
"v1^16[18-0]	","	v1^16[18-0]"
"v1^16[19-0]	","	v1^16[19-0]"
