ANSS-cofiber-2-machine,algNovikov-machine
"v1^6v2^2v3^3[3-0]	","	v1^6v2^3v4^1[3-1]+v1^30v2^1[3-0]"
"v1^6v2^3[12-6]	","	v1^8v2^1v3^1[12-4]"
"v1^6v2^3[4-6]	","	v1^8v2^1v3^1[4-4]"
"v1^6v2^7[8-5]	","	v1^6v2^7[8-5]"
"v1^6v2^8[7-5]	","	v1^6v2^8[7-5]+v1^20v2^11[7-0]"
"v1^7v2^11[4-5]	","	v1^14v2^4[4-12]"
"v1^7v2^7[8-5]	","	v1^12v2^1v3^1[8-11]"
"v1^8[1-0]	","	v1^8[1-0]"
"v1^8[10-0]	","	v1^8[10-0]"
"v1^8[11-0]	","	v1^8[11-0]"
"v1^8[12-0]	","	v1^8[12-0]"
"v1^8[13-0]	","	v1^8[13-0]"
"v1^8[14-0]	","	v1^8[14-0]"
"v1^8[15-0]	","	v1^8[15-0]"
"v1^8[16-0]	","	v1^8[16-0]"
"v1^8[17-0]	","	v1^8[17-0]"
"v1^8[18-0]	","	v1^8[18-0]"
"v1^8[19-0]	","	v1^8[19-0]"
"v1^8[2-0]	","	v1^8[2-0]"
"v1^8[2-11]	","	v1^8[2-11]"
"v1^8[20-0]	","	v1^8[20-0]"
"v1^8[21-0]	","	v1^8[21-0]"
"v1^8[22-0]	","	v1^8[22-0]"
"v1^8[23-0]	","	v1^8[23-0]"
"v1^8[24-0]	","	v1^8[24-0]"
"v1^8[25-0]	","	v1^8[25-0]"
"v1^8[26-0]	","	v1^8[26-0]"
"v1^8[27-0]	","	v1^8[27-0]"
"v1^8[28-0]	","	v1^8[28-0]"
"v1^8[29-0]	","	v1^8[29-0]"
"v1^8[3-0]	","	v1^8[3-0]"
"v1^8[3-13]	","	v1^8[3-13]"
"v1^8[4-0]	","	v1^8[4-0]"
"v1^8[4-12]	","	v1^8[4-12]"
"v1^8[5-0]	","	v1^8[5-0]"
"v1^8[5-14]	","	v1^8[5-14]+v1^32v3^1[5-0]"
"v1^8[6-0]	","	v1^8[6-0]"
"v1^8[6-11]	","	v1^8[6-11]"
"v1^8[7-0]	","	v1^8[7-0]"
"v1^8[7-9]	","	v1^8[7-9]"
"v1^8[8-0]	","	v1^8[8-0]"
"v1^8[8-11]	","	v1^8[8-11]"
"v1^8[9-0]	","	v1^8[9-0]"
"v1^8v2^1[1-0]	","	v0^3v1^2v2^3[1-0]+v0^5v1^2v2^3[1-0]"
"v1^8v2^1[10-0]	","	v1^8v2^1[10-0]"
"v1^8v2^1[11-0]	","	v1^8v2^1[11-0]"
"v1^8v2^1[12-0]	","	v1^8v2^1[12-0]"
"v1^8v2^1[13-0]	","	v1^8v2^1[13-0]"
"v1^8v2^1[14-0]	","	v1^8v2^1[14-0]"
"v1^8v2^1[15-0]	","	v1^8v2^1[15-0]"
"v1^8v2^1[16-0]	","	v1^8v2^1[16-0]"
"v1^8v2^1[17-0]	","	v1^8v2^1[17-0]"
"v1^8v2^1[18-0]	","	v1^8v2^1[18-0]"
"v1^8v2^1[19-0]	","	v1^8v2^1[19-0]"
"v1^8v2^1[2-0]	","	v1^8v2^1[2-0]"
"v1^8v2^1[20-0]	","	v1^8v2^1[20-0]"
"v1^8v2^1[21-0]	","	v1^8v2^1[21-0]"
"v1^8v2^1[22-0]	","	v1^8v2^1[22-0]"
"v1^8v2^1[23-0]	","	v1^8v2^1[23-0]"
"v1^8v2^1[24-0]	","	v1^8v2^1[24-0]"
"v1^8v2^1[25-0]	","	v1^8v2^1[25-0]"
"v1^8v2^1[26-0]	","	v1^8v2^1[26-0]"
"v1^8v2^1[27-0]	","	v1^8v2^1[27-0]"
"v1^8v2^1[28-0]	","	v1^8v2^1[28-0]"
"v1^8v2^1[3-0]	","	v1^8v2^1[3-0]"
"v1^8v2^1[3-13]	","	v1^8v2^1[3-13]"
"v1^8v2^1[4-0]	","	v1^8v2^1[4-0]"
"v1^8v2^1[4-12]	","	v1^8v2^1[4-12]+v1^30v2^4[4-0]"
"v1^8v2^1[5-0]	","	v1^8v2^1[5-0]"
"v1^8v2^1[5-14]	","	v1^8v2^1[5-14]"
"v1^8v2^1[6-0]	","	v1^8v2^1[6-0]"
"v1^8v2^1[6-11]	","	v1^8v2^1[6-11]"
"v1^8v2^1[7-0]	","	v1^8v2^1[7-0]"
"v1^8v2^1[7-9]	","	v1^8v2^1[7-9]"
"v1^8v2^1[8-0]	","	v1^8v2^1[8-0]"
"v1^8v2^1[8-11]	","	v1^8v2^1[8-11]"
"v1^8v2^1[9-0]	","	v1^8v2^1[9-0]"
"v1^9[8-11]	","	v1^9[8-11]"
"v2^1[10-0]	","	v2^1[10-0]"
"v2^1[10-10]	","	v2^1[10-10]"
"v2^1[10-2]	","	v2^1[10-2]"
"v2^1[10-4]	","	v2^1[10-4]"
"v2^1[10-8]	","	v3^2[10-2]"
"v2^1[11-0]	","	v2^1[11-0]"
"v2^1[11-1]	","	v2^1[11-1]"
"v2^1[11-10]	","	v2^2v3^1[11-6]+v1^1v2^4v3^1[11-3]"
"v2^1[11-2]	","	v2^1[11-2]"
"v2^1[11-5]	","	v3^2[11-1]+v1^26v3^1[11-0]"
"v2^1[11-6]	","	v2^1[11-6]"
"v2^1[12-0]	","	v2^1[12-0]"
"v2^1[12-1]	","	v2^1[12-1]+v1^26[12-0]"
"v2^1[12-4]	","	v2^1[12-4]"
"v2^1[12-6]	","	v3^1v4^2[12-0]+v2^3v3^4[12-0]"
"v2^1[13-0]	","	v2^1[13-0]"
"v2^1[13-5]	","	v2^1[13-5]"
"v2^1[14-0]	","	v2^1[14-0]"
"v2^1[14-2]	","	v4^2[14-0]"
"v2^1[14-4]	","	v2^1[14-4]"
"v2^1[15-0]	","	v2^1[15-0]"
"v2^1[15-1]	","	v4^2[15-0]"
"v2^1[15-2]	","	v2^1[15-2]"
"v2^1[16-0]	","	v2^1[16-0]"
"v2^1[16-1]	","	v2^1[16-1]+v1^18v2^3v3^1[16-0]"
"v2^1[16-4]	","	v2^1[16-4]+v1^14v2^7v3^1[16-0]+v1^18v2^3v4^1[16-0]+v1^20v3^1v4^1[16-0]"
"v2^1[17-0]	","	v2^1[17-0]"
"v2^1[17-5]	","	v2^1[17-5]"
"v2^1[18-0]	","	v2^1[18-0]"
"v2^1[18-2]	","	v2^1[18-2]"
"v2^1[18-4]	","	v2^1[18-4]"
"v2^1[19-0]	","	v2^1[19-0]"
"v2^1[19-1]	","	v2^1[19-1]"
"v2^1[19-2]	","	v2^1[19-2]"
"v2^1[2-0]	","	v2^1[2-0]"
"v2^1[20-0]	","	v2^1[20-0]"
"v2^1[21-0]	","	v2^1[21-0]"
"v2^1[22-0]	","	v2^1[22-0]"
"v2^1[23-0]	","	v2^1[23-0]"
"v2^1[24-0]	","	v2^1[24-0]"
"v2^1[25-0]	","	v2^1[25-0]"
"v2^1[26-0]	","	v2^1[26-0]"
"v2^1[27-0]	","	v2^1[27-0]"
"v2^1[28-0]	","	v2^1[28-0]"
"v2^1[29-0]	","	v2^1[29-0]"
"v2^1[3-0]	","	v2^1[3-0]"
"v2^1[3-11]	","	v2^1[3-11]+v0^1v1^2v2^2v3^1v4^1[3-1]+v1^30v2^1[3-0]"
"v2^1[3-13]	","	v2^1[3-13]"
"v2^1[3-2]	","	v2^1[3-2]"
"v2^1[3-5]	","	v3^2[3-1]+v1^14v2^1[3-0]"
"v2^1[3-6]	","	v2^1[3-6]"
"v2^1[30-0]	","	v2^1[30-0]"
"v2^1[31-0]	","	v2^1[31-0]"
"v2^1[32-0]	","	v2^1[32-0]"
"v2^1[33-0]	","	v2^1[33-0]"
"v2^1[34-0]	","	v2^1[34-0]"
"v2^1[35-0]	","	v2^1[35-0]"
"v2^1[36-0]	","	v2^1[36-0]"
"v2^1[4-0]	","	v2^1[4-0]"
"v2^1[4-1]	","	v2^1[4-1]"
"v2^1[4-11]	","	v2^1[4-11]+v1^30v2^1[4-0]"
"v2^1[4-12]	","	v2^1[4-12]+v1^34[4-0]"
"v2^1[4-17]	","	v2^1[4-17]"
"v2^1[4-23]	","	v3^2[4-15]+v2^8v4^1[4-2]"
"v2^1[4-24]	","	v3^6[4-2]"
"v2^1[4-4]	","	v2^1[4-4]"
"v2^1[4-6]	","	v3^3[4-0]+v2^7[4-0]"
"v2^1[5-0]	","	v2^1[5-0]"
"v2^1[5-12]	","	v2^1[5-12]+v0^2v2^8[5-1]+v1^30v2^1[5-0]"
"v2^1[5-13]	","	v3^2[5-8]"
"v2^1[5-14]	","	v2^1[5-14]"
"v2^1[5-18]	","	v2^1[5-18]"
"v2^1[5-21]	","	v2^1[5-21]+v1^1v2^2v3^3[5-4]+v1^28v2^5[5-0]"
"v2^1[5-23]	","	v4^2[5-6]"
"v2^1[5-25]	","	v4^2[5-7]+v3^4[5-8]"
"v2^1[5-28]	","	v3^3[5-14]+v2^9v3^1[5-7]"
"v2^1[5-5]	","	v2^1[5-5]+v1^18[5-0]"
"v2^1[6-0]	","	v2^1[6-0]"
"v2^1[6-11]	","	v2^1[6-11]+v3^2[6-7]+v1^1v3^1[6-9]+v1^4[6-10]"
"v2^1[6-15]	","	v2^1[6-15]+v1^30v2^1v3^1[6-0]"
"v2^1[6-19]	","	v2^1[6-19]"
"v2^1[6-2]	","	v3^2[6-0]+v1^14[6-0]"
"v2^1[6-21]	","	v4^2[6-6]+v1^2v2^9v3^1[6-2]"
"v2^1[6-4]	","	v2^1[6-4]+v1^18[6-0]"
"v2^1[7-0]	","	v2^1[7-0]"
"v2^1[7-1]	","	v3^2[7-0]"
"v2^1[7-14]	","	v2^1[7-14]+v2^8[7-3]"
"v2^1[7-18]	","	v3^2[7-9]+v1^26v2^4v3^1[7-0]+v1^28v2^1v3^2[7-0]"
"v2^1[7-2]	","	v2^1[7-2]"
"v2^1[7-22]	","	v3^3[7-8]+v1^4v2^3v3^1[7-9]+v1^4v2^8[7-5]+v1^13v3^1[7-9]"
"v2^1[7-8]	","	v2^1[7-8]"
"v2^1[7-9]	","	v2^1[7-9]"
"v2^1[8-0]	","	v2^1[8-0]"
"v2^1[8-1]	","	v2^1[8-1]+v1^18[8-0]"
"v2^1[8-11]	","	v2^1[8-11]"
"v2^1[8-16]	","	v3^2[8-6]+v2^4[8-7]+v1^6v2^1[8-11]"
"v2^1[8-19]	","	v3^2[8-11]"
"v2^1[8-20]	","	v3^2[8-14]+v2^4[8-15]+v1^3v2^7[8-5]"
"v2^1[8-23]	","	v3^4[8-4]+v2^4v3^2[8-5]+v1^5v2^7[8-5]"
"v2^1[8-4]	","	v2^1[8-4]+v1^26[8-0]"
"v2^1[8-9]	","	v2^1[8-9]"
"v2^1[9-0]	","	v2^1[9-0]"
"v2^1[9-10]	","	v2^1[9-10]"
"v2^1[9-12]	","	v2^1[9-12]"
"v2^1[9-21]	","	v2^1[9-21]+v1^1v2^2v3^3[9-5]+v1^24v2^4v4^1[9-0]"
"v2^1[9-5]	","	v2^1[9-5]"
"v2^10[2-0]	","	v1^6v2^3[2-7]"
"v2^10[3-0]	","	v1^6v2^3[3-6]"
"v2^10[7-5]	","	v1^2v3^4[7-5]+v1^20v2^11[7-0]+v1^22v2^8v3^1[7-0]"
"v2^10v3^2[4-2]	","	v2^10v3^2[4-2]+v1^3v2^11[4-5]"
"v2^10v3^2[6-1]	","	v1^2v3^6[6-1]+v1^4v2^4v3^1[6-11]+v1^6v2^5v3^1v4^1[6-2]"
"v2^10v4^1[3-3]	","	v2^10v4^1[3-3]"
"v2^11v3^2[4-2]	","	v1^2v2^4v3^4[4-3]"
"v2^11v4^1[3-1]	","	v2^11v4^1[3-1]"
"v2^12[2-1]	","	v0^3v1^4v3^4[2-3]"
"v2^12[4-3]	","	v2^12[4-3]"
"v2^12[5-1]	","	v2^12[5-1]"
"v2^12[6-1]	","	v2^12[6-1]"
"v2^12[6-2]	","	v1^2v2^9v3^1[6-2]"
"v2^12[7-1]	","	v1^2v2^9v3^1[7-1]"
"v2^12v3^2[2-1]	","	v0^2v2^9v3^1v4^1[2-2]+v1^28v2^8[2-0]"
"v2^13[2-0]	","	v1^2v2^9v3^1[2-2]"
"v2^13[3-0]	","	v0^1v2^5v3^3[3-1]+v1^2v2^9v3^1[3-1]"
"v2^13[6-2]	","	v1^12v3^1[6-11]"
"v2^13[7-1]	","	v1^12v3^1[7-9]"
"v2^13v3^1[3-3]	","	v1^2v2^9v3^1v4^1[3-1]"
"v2^13v4^1[3-1]	","	v1^2v2^1v3^7[3-1]+v1^4v2^5v3^5[3-1]+v0^1v1^4v2^5v3^5[3-1]+v1^6v2^11v4^1[3-1]"
"v2^14[2-0]	","	v0^5v1^2v2^3[2-11]+v0^6v1^2v2^3[2-11]"
"v2^14[3-0]	","	v2^14[3-0]"
"v2^14v3^2[2-1]	","	v0^6v2^1v3^1v4^3[2-2]"
"v2^16[2-1]	","	v0^2v1^10v2^3[2-11]+v0^6v1^20v2^10[2-0]"
"v2^17[2-0]	","	v1^2v2^13v3^1[2-2]"
"v2^17[3-0]	","	v1^2v2^13v3^1[3-1]"
"v2^18[2-0]	","	v1^14v2^3[2-11]"
"v2^18[3-0]	","	v1^14v2^3[3-13]"
"v2^1v3^1[10-11]	","	v2^1v3^1[10-11]"
"v2^1v3^1[10-6]	","	v2^1v3^1[10-6]"
"v2^1v3^1[10-7]	","	v2^1v3^1[10-7]"
"v2^1v3^1[10-9]	","	v2^1v3^1[10-9]"
"v2^1v3^1[13-7]	","	v2^1v3^1[13-7]"
"v2^1v3^1[13-9]	","	v2^1v3^1[13-9]+v1^2v4^1[13-3]+v1^16v2^8v3^1[13-0]+v1^20v2^4v4^1[13-0]"
"v2^1v3^1[14-6]	","	v2^1v3^1[14-6]"
"v2^1v3^1[14-7]	","	v2^1v3^1[14-7]+v1^4v4^1[14-2]"
"v2^1v3^1[3-8]	","	v2^1v3^1[3-8]+v1^28[3-0]"
"v2^1v3^1[5-7]	","	v2^1v3^1[5-7]+v1^28[5-0]"
"v2^1v3^1[5-9]	","	v0^1[5-13]+v1^28v2^1[5-0]"
"v2^1v3^1[6-6]	","	v2^1v3^1[6-6]"
"v2^1v3^1[6-7]	","	v2^1v3^1[6-7]+v1^4v4^1[6-2]"
"v2^1v3^1[6-8]	","	v2^1v3^1[6-8]+v1^30v2^1[6-0]"
"v2^1v3^1[6-9]	","	v0^1[6-14]+v2^1v3^1[6-9]+v1^3v2^1[6-10]"
"v2^1v3^1[7-18]	","	v2^1v3^1[7-18]"
"v2^1v3^1[8-19]	","	v2^1v3^1[8-19]+v1^6v2^7[8-5]"
"v2^1v3^1[9-13]	","	v2^1v3^1[9-13]"
"v2^1v3^1[9-15]	","	v2^1v3^1[9-15]"
"v2^1v3^1[9-9]	","	v2^1v3^1[9-9]+v1^26v2^2v3^1[9-0]"
"v2^1v3^2[5-13]	","	v3^4[5-8]"
"v2^1v3^3[10-4]	","	v2^3v3^1[10-10]+v2^5v3^1[10-6]+v1^4v2^1v3^3[10-2]"
"v2^1v3^3[5-9]	","	v3^4[5-6]+v1^2v3^2v4^1[5-3]+v2^12[5-1]+v0^1v2^12[5-1]+v2^15[5-0]"
"v2^1v3^4[7-5]	","	v3^4v4^1[7-1]+v1^4v2^4v3^1[7-9]+v1^6v2^5v3^1v4^1[7-1]"
"v2^1v3^4[9-1]	","	v2^1v4^3[9-0]+v2^5v3^1[9-7]"
"v2^1v4^1[15-1]	","	v2^1v4^1[15-1]+v1^6[15-5]+v1^14v2^8v3^1[15-0]+v1^18v2^4v4^1[15-0]"
"v2^1v4^1[7-1]	","	v2^1v4^1[7-1]+v1^1v2^2v3^1[7-2]+v1^6[7-5]+v1^26v2^1[7-0]"
"v2^1v4^2[3-4]	","	v2^2v3^1v4^1[3-5]"
"v2^2[10-13]	","	v3^4[10-1]+v1^8v3^1[10-10]"
"v2^2[10-14]	","	v2^2[10-14]+v1^4v2^1v3^3[10-2]"
"v2^2[10-15]	","	v2^2[10-15]+v2^4v3^1[10-10]"
"v2^2[11-10]	","	v2^3v3^1[11-6]+v1^1v2^4v4^1[11-1]+v1^4v2^3v4^1[11-1]"
"v2^2[11-11]	","	v2^2[11-11]+v1^3v2^3[11-8]+v1^18v2^8v3^1[11-0]"
"v2^2[11-3]	","	v2^2[11-3]"
"v2^2[12-11]	","	v2^2[12-11]+v1^6v2^3[12-5]"
"v2^2[12-2]	","	v2^2[12-2]"
"v2^2[13-4]	","	v3^1v4^2[13-0]+v0^1v2^4[13-1]+v2^3v3^4[13-0]"
"v2^2[15-3]	","	v2^2[15-3]"
"v2^2[16-2]	","	v2^2[16-2]"
"v2^2[16-4]	","	v2^2[16-4]+v1^6[16-4]"
"v2^2[2-0]	","	v2^2[2-0]"
"v2^2[3-0]	","	v2^2[3-0]"
"v2^2[3-13]	","	v2^2[3-13]+v0^1v2^2v3^1v4^1[3-4]+v1^34v2^1[3-0]"
"v2^2[3-3]	","	v2^2[3-3]"
"v2^2[3-6]	","	v2^2[3-6]"
"v2^2[4-10]	","	v2^2[4-10]+v1^26v2^1[4-0]"
"v2^2[4-12]	","	v2^2[4-12]"
"v2^2[4-13]	","	v0^1[4-16]+v2^8[4-3]"
"v2^2[4-18]	","	v2^2[4-18]"
"v2^2[4-2]	","	v2^2[4-2]+v1^12v2^1[4-0]"
"v2^2[4-4]	","	v2^2[4-4]+v1^18v2^1[4-0]"
"v2^2[5-17]	","	v3^4[5-4]"
"v2^2[5-20]	","	v2^2[5-20]"
"v2^2[5-4]	","	v3^3[5-0]+v2^4[5-1]+v0^1v2^4[5-1]+v1^18v2^1[5-0]"
"v2^2[6-10]	","	v0^1[6-14]"
"v2^2[6-12]	","	v0^2[6-16]+v1^2v2^4v3^2[6-1]"
"v2^2[6-23]	","	v3^3[6-11]+v2^4[6-18]+v1^2v2^5v3^3[6-3]"
"v2^2[7-17]	","	v2^2[7-17]"
"v2^2[7-20]	","	v2^2[7-20]+v2^4v3^2[7-6]+v1^4v2^5v3^1v4^1[7-1]"
"v2^2[7-3]	","	v2^2[7-3]"
"v2^2[7-8]	","	v2^2[7-8]"
"v2^2[8-15]	","	v2^2[8-15]"
"v2^2[8-2]	","	v2^2[8-2]+v1^20v2^1[8-0]"
"v2^2[8-21]	","	v2^2[8-21]+v1^12v2^1v3^1[8-11]"
"v2^2[8-22]	","	v2^2[8-22]+v1^12v2^1v3^1[8-11]"
"v2^2[8-4]	","	v2^2[8-4]+v1^6[8-4]+v1^26v2^1[8-0]"
"v2^2[9-18]	","	v4^3[9-0]+v3^4[9-1]"
"v2^2[9-19]	","	v2^2[9-19]+v2^1v4^3[9-0]+v2^5v3^1[9-7]"
"v2^2[9-20]	","	v3^4[9-5]+v1^1v2^2v3^3[9-5]+v1^20v2^8v3^1[9-0]+v1^22v2^5v3^2[9-0]+v1^24v2^4v4^1[9-0]"
"v2^2[9-5]	","	v2^2[9-5]+v0^2v2^4[9-1]"
"v2^2v3^1[12-2]	","	v2^2v3^1[12-2]+v1^4v2^1[12-4]+v1^22v2^3v3^1[12-0]"
"v2^2v3^1[4-2]	","	v0^1v3^1[4-4]+v2^2v3^1[4-2]+v1^4v2^1[4-4]"
"v2^2v3^1[4-9]	","	v2^2v3^1[4-9]"
"v2^2v3^1[5-20]	","	v2^2v3^1[5-20]+v1^5v2^6v3^3[5-1]"
"v2^2v3^1[6-15]	","	v1^1v4^1[6-13]+v1^2v2^8v3^2[6-1]"
"v2^2v3^1[7-8]	","	v2^2v3^1[7-8]"
"v2^2v3^1[8-2]	","	v2^2v3^1[8-2]"
"v2^2v3^1v4^1[3-4]	","	v2^2v3^1v4^1[3-4]+v1^34v2^1[3-0]"
"v2^2v3^2[11-2]	","	v2^3v4^1[11-1]+v1^2v2^5v3^1[11-1]"
"v2^2v3^2[12-2]	","	v2^2v3^2[12-2]"
"v2^2v3^2[4-2]	","	v2^2v3^2[4-2]+v1^3v2^3[4-5]"
"v2^2v3^2[5-14]	","	v0^2[5-29]+v2^2v3^2[5-14]+v1^3v2^6v3^3[5-1]"
"v2^2v3^2[5-4]	","	v1^2v4^1[5-7]+v2^3v4^1[5-2]+v1^32v2^1[5-0]"
"v2^2v3^2[7-7]	","	v1^2v4^1[7-10]"
"v2^2v3^2[8-2]	","	v2^2v3^2[8-2]"
"v2^2v3^2[9-4]	","	v2^2v3^2[9-5]+v1^28v4^1[9-0]"
"v2^2v3^3[3-0]	","	v2^3v4^1[3-1]+v1^24v2^1[3-0]"
"v2^2v3^6[3-3]	","	v2^2v3^6[3-3]"
"v2^2v4^1[10-5]	","	v2^2v4^1[10-5]"
"v2^2v4^1[10-7]	","	v2^1v3^3[10-6]+v1^6v2^1v3^3[10-2]"
"v2^2v4^1[11-3]	","	v2^2v4^1[11-3]"
"v2^2v4^1[12-2]	","	v2^2v4^1[12-2]+v1^2v3^2[12-3]+v1^3v2^1v4^1[12-2]+v1^18v2^7v3^1[12-0]+v1^22v2^3v4^1[12-0]+v1^24v3^1v4^1[12-0]"
"v2^2v4^1[3-3]	","	v2^2v4^1[3-3]+v1^26v2^1[3-0]"
"v2^2v4^1[4-2]	","	v2^2v4^1[4-2]+v1^30[4-0]"
"v2^2v4^1[6-5]	","	v2^2v4^1[6-5]+v1^1v2^4v3^1[6-6]"
"v2^2v4^1[6-7]	","	v2^1v3^3[6-6]+v1^2v2^5v3^1[6-6]+v1^10[6-11]"
"v2^2v4^1[6-8]	","	v2^1v3^3[6-7]+v1^28v2^3v3^1[6-0]"
"v2^2v4^1[7-3]	","	v2^2v4^1[7-3]"
"v2^2v4^1[8-2]	","	v2^2v4^1[8-2]+v1^28v2^1v3^1[8-0]"
"v2^2v4^2[6-2]	","	v2^2v4^2[6-2]+v1^2v2^9v3^1[6-2]"
"v2^2v4^2[8-2]	","	v2^2v4^2[8-2]+v1^12v2^1v3^1[8-11]"
"v2^3[10-14]	","	v1^1v3^3[10-7]+v2^4v3^1[10-10]+v1^6v2^1v3^1v4^1[10-2]"
"v2^3[11-10]	","	v1^2v3^2[11-7]+v2^4v3^1[11-6]"
"v2^3[12-6]	","	v1^1v2^3[12-5]"
"v2^3[13-3]	","	v2^3[13-3]"
"v2^3[13-4]	","	v2^1v3^1v4^2[13-0]"
"v2^3[4-6]	","	v1^1v2^3[4-5]"
"v2^3[5-17]	","	v3^4[5-7]+v1^1v2^2v3^3[5-7]"
"v2^3[5-3]	","	v2^3[5-3]+v1^20v2^1[5-0]"
"v2^3[5-4]	","	v2^1v3^3[5-0]+v1^24[5-0]"
"v2^3[6-10]	","	v3^4[6-2]+v2^5v3^1[6-6]+v1^8[6-11]"
"v2^3[6-22]	","	v2^3[6-22]+v1^2v3^6[6-1]+v1^6v2^5v3^1v4^1[6-2]"
"v2^3[7-8]	","	v3^4[7-1]+v1^8[7-9]+v0^1v2^8v4^1[7-0]"
"v2^3[9-19]	","	v0^1v2^1[9-21]+v1^1v3^3[9-9]+v2^2v4^3[9-0]+v1^2v2^4v4^1[9-3]+v1^22v2^5v3^2[9-0]"
"v2^3[9-3]	","	v2^3[9-3]+v1^28v2^1[9-0]"
"v2^3[9-5]	","	v2^3[9-5]"
"v2^3v3^1[11-1]	","	v1^1v4^1[11-1]"
"v2^3v3^1[13-4]	","	v1^2v4^1[13-3]+v1^16v2^8v3^1[13-0]+v1^20v2^4v4^1[13-0]"
"v2^3v3^1[15-1]	","	v1^1v4^1[15-1]"
"v2^3v3^1[3-1]	","	v0^1[3-9]"
"v2^3v3^1[4-15]	","	v0^1[4-25]"
"v2^3v3^1[5-4]	","	v1^2v4^1[5-3]+v1^28v2^1[5-0]"
"v2^3v3^1[7-1]	","	v1^1v4^1[7-1]+v1^5v3^1[7-2]"
"v2^3v3^1[9-4]	","	v1^2v4^1[9-3]"
"v2^3v3^2[11-2]	","	v1^2v2^1v3^1v4^1[11-1]"
"v2^3v3^2[4-8]	","	v2^2v3^4[4-2]+v1^12[4-12]"
"v2^3v3^3[3-0]	","	v1^2v2^1v3^1v4^1[3-1]+v1^6v2^3[3-6]+v1^30[3-0]"
"v2^4[10-1]	","	v2^4[10-1]"
"v2^4[10-2]	","	v1^2v2^1v3^1[10-2]"
"v2^4[11-1]	","	v1^2v2^1v3^1[11-1]"
"v2^4[11-7]	","	v2^4[11-7]"
"v2^4[12-3]	","	v2^4[12-3]+v1^24v2^1v4^1[12-0]"
"v2^4[12-6]	","	v1^2v3^2[12-3]+v1^3v2^1v4^1[12-2]+v1^24v3^1v4^1[12-0]"
"v2^4[13-1]	","	v2^4[13-1]"
"v2^4[13-3]	","	v2^4[13-3]"
"v2^4[14-1]	","	v2^4[14-1]"
"v2^4[14-2]	","	v1^2v2^1v3^1[14-2]"
"v2^4[15-1]	","	v1^2v2^1v3^1[15-1]"
"v2^4[2-1]	","	v2^4[2-1]"
"v2^4[3-14]	","	v0^3[3-20]+v0^4v2^4[3-14]"
"v2^4[4-3]	","	v2^4[4-3]"
"v2^4[4-6]	","	v1^2v3^2[4-3]+v1^2v2^2v3^1[4-4]+v1^30[4-0]"
"v2^4[5-1]	","	v2^4[5-1]+v2^7[5-0]+v1^18v2^1[5-0]"
"v2^4[5-17]	","	v3^7[5-0]+v2^9v3^1[5-4]"
"v2^4[5-3]	","	v2^4[5-3]"
"v2^4[6-1]	","	v2^4[6-1]"
"v2^4[6-10]	","	v2^4[6-10]+v2^5v3^1[6-7]+v1^8v2^1[6-11]"
"v2^4[6-12]	","	v2^2v3^1v4^1[6-5]+v1^2v2^5v3^1[6-7]+v1^28v2^3v3^1[6-0]"
"v2^4[6-18]	","	v2^4[6-18]+v1^22v2^10[6-0]"
"v2^4[6-2]	","	v1^2v2^1v3^1[6-2]"
"v2^4[7-1]	","	v1^2v2^1v3^1[7-1]"
"v2^4[7-6]	","	v2^4[7-6]+v1^1v3^3[7-3]"
"v2^4[7-8]	","	v1^1v2^3[7-10]+v3^6[7-0]"
"v2^4[8-10]	","	v2^4[8-10]"
"v2^4[8-3]	","	v2^4[8-3]"
"v2^4[9-1]	","	v2^4[9-1]+v0^2v2^4[9-1]+v1^26v2^1[9-0]"
"v2^4[9-18]	","	v2^2v4^3[9-0]+v1^1v2^2v3^3[9-5]+v1^2v2^4v4^1[9-3]+v1^22v2^5v3^2[9-0]"
"v2^4[9-3]	","	v2^4[9-3]"
"v2^4v3^1[10-6]	","	v0^1v2^1v3^1v4^1[10-2]+v1^22v2^5v3^1[10-0]+v1^26v2^1v4^1[10-0]"
"v2^4v3^1[6-6]	","	v1^3v2^1[6-10]"
"v2^4v3^2[10-1]	","	v2^4v3^2[10-1]+v1^22v2^5v3^1[10-0]+v1^26v2^1v4^1[10-0]"
"v2^4v3^2[11-2]	","	v1^3v2^3[11-8]+v1^6v2^3v4^1[11-1]+v1^22v2^4v4^1[11-0]"
"v2^4v3^2[2-1]	","	v0^2v2^1v3^1v4^1[2-2]"
"v2^4v3^2[6-1]	","	v2^4v3^2[6-1]"
"v2^4v3^2[7-6]	","	v2^4v3^2[7-6]+v1^4v2^5v3^1v4^1[7-1]"
"v2^4v3^2[8-5]	","	v2^4v3^2[8-5]+v1^5v2^7[8-5]"
"v2^4v3^2v4^1[6-3]	","	v1^1v2^3v3^2v4^1[6-5]+v1^3v3^5[6-6]"
"v2^4v3^3[3-0]	","	v1^2v2^2v3^1v4^1[3-1]+v0^2v1^2v2^2v3^1v4^1[3-1]+v1^30v2^1[3-0]"
"v2^4v3^3[5-4]	","	v2^6v4^1[5-4]"
"v2^4v3^4[4-5]	","	v2^2v3^6[4-2]"
"v2^4v3^4[5-1]	","	v0^1v1^2v2^3v3^1[5-14]+v2^9v3^1[5-4]"
"v2^4v4^1[4-2]	","	v0^2v2^1v4^1[4-6]+v2^4v4^1[4-2]"
"v2^4v4^1[5-4]	","	v2^4v4^1[5-4]+v1^2v2^5v3^1[5-7]"
