name,stem,Adams filtration,weight,cell,shift,h1info,h1target,drinfo,drtarget
P^12 c0,104,51,53,0,0,,loc,,
M D1 c0,105,13,57,0,0,,M D1 h1 c0,,
"h1^2 x103,12",105,14,56,0,0,,"h1^3 x103,12",,
_M D1 h1^7,105,16,58,1,0,,_M D1 h1^8,,
M^2 h1 d0,105,17,57,0,0,,,,
M D1 h1^8,105,18,60,0,0,,M D1 h1^9,,
_D^2 M h1^3 c0,105,19,55,1,0,,_D^2 M h1^4 c0,,
D^2 M h1^4 c0,105,21,57,0,0,,D^2 M h1^5 c0,,
M D h1^5 d0 e0,105,23,59,0,0,,M D h1^6 d0 e0,,
M P D h1^3 c0 e0,105,24,58,0,0,,,,
P^13 h1,105,53,53,0,0,,loc,,
"_h1^2 x103,12",106,13,55,1,0,,"_h1^3 x103,12",,
M D1 h1 c0,106,14,58,0,0,,M D1 h1^2 c0,,
"h1^3 x103,12",106,15,57,0,-1,,"h1^4 x103,12",,
M D1 P h1,106,15,57,0,1,,M D1 P h1^2,,
_M D1 h1^8,106,17,59,1,0,,_M D1 h1^9,,
M D1 h1^9,106,19,61,0,0,,M D1 h1^10,,
_D^2 M h1^4 c0,106,20,56,1,0,,_D^2 M h1^5 c0,,
_D^2 M P h1^4,106,21,55,1,0,,_D^2 M P h1^5,,
D^2 M h1^5 c0,106,22,58,0,0,,D^2 M h1^6 c0,,
M D h1^6 d0 e0,106,24,60,0,0,,M D h1^7 d0 e0,,
"_h1^3 x103,12",107,14,56,1,0,,"_h1^4 x103,12",,
M D1 h1^2 c0,107,15,59,0,0,,M D1 h1^3 c0,,
"h1^4 x103,12",107,16,58,0,-1,,"h1^5 x103,12",,
M D1 P h1^2,107,16,58,0,1,,M D1 P h1^3,,
_M D1 h1^9,107,18,60,1,-1,,_M D1 h1^10,,
M D^2 d0,107,18,56,0,1,,M D^2 h1 d0,,
M D1 h1^10,107,20,62,0,0,,M D1 h1^11,,
_D^2 M h1^5 c0,107,21,57,1,-1,,_D^2 M h1^6 c0,,
M c0 e0^2 g,107,21,61,0,1,,M h1 c0 e0^2 g,,
_D^2 M P h1^5,107,22,56,1,0,,_D^2 M P h1^6,,
D^2 M h1^6 c0,107,23,59,0,0,,D^2 M h1^7 c0,,
M D h1^7 d0 e0,107,25,61,0,0,,,,
_P^12 h1^2 c0,107,52,54,1,0,,loc,,
_M D1 h1^2 c0,108,14,58,1,0,,_M D1 h1^3 c0,,
"_h1^4 x103,12",108,15,57,1,0,,"_h1^5 x103,12",,
M D1 h1^3 c0,108,16,60,0,0,,M D1 h1^4 c0,,
"h1^5 x103,12",108,17,59,0,-1,,"h1^6 x103,12",,
M D1 P h1^3,108,17,59,0,1,,M D1 P h1^4,,
_M D1 h1^10,108,19,61,1,-1,,_M D1 h1^11,,
M D^2 h1 d0,108,19,57,0,1,,,,
M D1 h1^11,108,21,63,0,0,,M D1 h1^12,,
_D^2 M h1^6 c0,108,22,58,1,-1,,_D^2 M h1^7 c0,,
M h1 c0 e0^2 g,108,22,62,0,1,,,,
_D^2 M P h1^6,108,23,57,1,0,,_D^2 M P h1^7,,
D^2 M h1^7 c0,108,24,60,0,-1,,,,
e0^4 g^2,108,24,64,0,1,,h1 e0^4 g^2,,
"x109,13",109,13,57,0,0,,"h1 x109,13",,
_t M D1 P h2,109,14,56,1,0,h,"x110,15",,
_M D1 h1^3 c0,109,15,59,1,0,,_M D1 h1^4 c0,,
"_h1^5 x103,12",109,16,58,1,0,,"_h1^6 x103,12",,
M D1 h1^4 c0,109,17,61,0,0,,M D1 h1^5 c0,,
"h1^6 x103,12",109,18,60,0,-1,?,M D1 P h1^5,,
M D1 P h1^4,109,18,60,0,1,?,M D1 P h1^5,,
_M D1 h1^11,109,20,62,1,0,,_M D1 h1^12,,
D^2 M P c0,109,21,57,0,0,,D^2 M P h1 c0,,
M D1 h1^12,109,22,64,0,0,,M D1 h1^13,,
_D^2 M h1^7 c0,109,23,59,1,0,,_D^2 M h1^8 c0,,
_D^2 M P h1^7,109,24,58,1,0,,_D^2 M P h1^8,,
h1 e0^4 g^2,109,25,65,0,0,,,,
_P^13 h1^4,109,55,55,1,0,,loc,,
"h1 x109,13",110,14,58,0,0,,,,
"x110,15",110,15,57,0,0,,,,
M^2 g,110,16,60,0,-1,,,3?,M D1 P h1^4
M^2 g again,110,16,60,0,-1,,,7?,"h1^6 x103,12"
_M D1 h1^4 c0,110,16,60,1,1,,,,
_M D1 P h1^4,110,17,59,1,-1,,,,
"_h1^6 x103,12",110,17,59,1,1,,,,
M D1 h1^5 c0,110,18,62,0,0,,,,
M D1 P h1^5,110,19,61,0,0,,,,
_M D1 h1^12,110,21,63,1,0,,,,
D^2 M P h1 c0,110,22,58,0,0,,,,
M D1 h1^13,110,23,65,0,0,,,,
_D^2 M h1^8 c0,110,24,60,1,0,,,,
_D^2 M P h1^8,110,25,59,1,0,,,,
